Timestamps,Speed [g/s]
77.5,2.1279441142715
77.6,2.354427724946273
77.637,2.48724999532701
77.7,2.327599231707692
77.8,2.24964209732155
77.804,2.608242558443172
77.9,2.3508198697142273
78.0,2.396006797957236
78.1,2.4673032523924503
78.2,2.304325689396114
78.3,2.1387869694646695
78.4,2.112992903581789
78.5,1.895371724118108
78.6,1.8353392972748122
78.584,1.9636654259750395
78.7,2.2117893105733923
78.8,3.8353022333584477
78.9,4.13952925916812
78.918,4.307286375482884
79.0,5.393781388556625
79.1,7.98355178318386
79.102,7.184981195487243
79.2,7.226945563878093
79.156,8.114331028536633
79.157,8.155967131862917
79.218,7.4872389876947345
79.219,7.785614620337237
79.224,8.34118074505211
79.229,9.062035421346938
79.23,9.714025297493727
79.235,10.540051754448104
79.24,11.351060424720924
79.241,12.173047093027495
79.246,12.985781563383105
79.247,13.77000419130892
79.252,14.392839211572722
79.257,15.105085935370342
79.258,15.76156078617115
79.263,16.280314880016498
79.268,16.683081393036595
79.269,17.008504304312574
79.274,17.225861950573663
79.279,17.417369196025046
79.28,17.601008686935458
79.285,17.723148309583145
79.286,17.837807644782437
79.291,17.707296975559057
79.296,17.5637120942771
79.297,17.353869516052576
79.302,17.070030475593974
79.307,16.6102341366847
79.308,16.20746798938011
79.313,15.850223948193932
79.318,15.307777108697659
79.319,14.847315709097813
79.324,14.388735228150738
79.329,13.954781109758665
79.33,13.468975564204541
79.335,12.99805456218292
79.336,12.690228212909686
79.341,12.245374061106263
79.346,11.834315047638661
79.347,11.55460769302393
79.352,11.259314943729947
79.357,11.01942743948004
79.358,10.802112820342051
79.363,10.633123056757123
79.368,10.525384774749634
79.369,10.325995864033187
79.374,10.168260016938314
79.375,10.010207359005506
79.38,9.871848684123597
79.385,9.715164416784212
79.386,9.625094986050236
79.391,9.57400581023623
79.4,7.868542858236396
79.5,7.250310029454034
79.541,7.420548609908498
79.546,7.573048835001491
79.547,7.7380301223954335
79.552,7.9261493787987884
79.553,8.136658788836783
79.558,8.208545115366531
79.563,8.458013121076377
79.564,8.763769247442015
79.569,8.99407977355502
79.574,9.241825304438988
79.6,9.694779359056028
79.58,9.939166391239825
79.581,10.277831234247387
79.586,10.615739731102128
79.591,11.100270716592288
79.592,11.518928704692126
79.597,12.019863837288149
79.602,12.530882412572696
79.603,13.022723212876548
79.608,13.593709424627875
79.613,14.063733698567521
79.614,14.61399550950396
79.619,15.205611483269237
79.624,15.808226337417622
79.625,16.29641106000857
79.63,16.892246685889532
79.631,17.359012421442124
79.636,17.873704188126318
79.641,18.4190361508874
79.642,18.967767600697332
79.647,19.365930534956107
79.652,19.72439961641349
79.653,20.04438935933915
79.658,20.288364533614285
79.659,20.44170338948359
79.664,20.677783205986646
79.669,20.89584857129371
79.67,21.11281374631143
79.675,21.219827660611028
79.68,21.21296516688211
79.681,21.24741789440476
79.686,21.126596774026066
79.691,21.040418632765885
79.692,20.937147447820763
79.697,20.835973808016842
79.702,20.62460913733014
79.707,20.444368472765067
79.708,20.34264223825336
79.709,20.24724538400362
79.714,20.032776223458388
79.719,19.782865454961982
79.72,19.5257085908571
79.725,19.35728090566493
79.73,19.058549361083866
79.731,18.698142851429953
79.736,18.3192768402928
79.741,17.810628861850535
79.742,17.365525863455105
79.747,16.900789499027603
79.748,16.401073007779083
79.753,15.772259445714656
79.758,15.207000967632725
79.759,14.633521813167162
79.8,7.6518741272389565
79.814,7.822004832425662
79.819,8.1143318846425
79.82,8.34383990737633
79.825,8.627690101796949
79.83,9.20218873234011
79.831,9.595835632180167
79.836,10.151250508217352
79.837,10.73111108058961
79.842,11.44717551947579
79.847,12.299866588208726
79.848,13.298981507355055
79.853,14.283137069574192
79.858,15.291150587025088
79.859,16.219441078611528
79.864,17.273903153252473
79.869,18.388056805739435
79.87,19.430645345333595
79.875,20.69812169606101
79.876,21.771445872617306
79.881,22.92030082285895
79.886,24.09538942514851
79.887,25.08842685661411
79.892,26.06637507670428
79.897,27.03045394508532
79.898,28.03935504569654
79.903,28.82252187804001
79.908,29.494479134823134
79.913,29.974900765098347
79.914,30.543383718191624
79.919,30.919999587537177
79.92,31.364287097436467
79.925,31.608235351828927
79.926,32.00616502377089
79.931,32.293711731716684
79.936,32.53026230429152
79.937,32.76562888018103
79.942,33.011750381426445
79.947,33.32440493674006
79.948,33.597894310775416
79.953,33.867839336770516
79.954,34.079810110000636
79.959,34.284325032640126
79.964,34.44965879229874
79.965,34.69469691210283
79.97,34.964701620669224
79.975,35.22702684429544
79.976,35.45746045574928
79.981,35.621908856014116
79.986,35.685200497772044
79.987,35.72346219283253
79.992,35.765328773999215
79.997,35.74185306747731
79.998,35.637622166526455
80.003,35.509461533652825
80.004,35.35609580543154
80.009,35.0738794602841
80.014,34.8125540017845
80.015,34.488380050288974
80.02,34.10493372064378
80.025,33.75908633845793
80.03,33.39674474625211
80.031,32.98384132222677
80.036,32.678925838346885
80.037,32.43057187180917
80.042,32.2654375411361
80.043,32.00739321145093
80.048,31.88094627538324
80.053,31.854740772804924
80.054,31.889004022555543
80.059,31.86943109796291
